Time,EcoregionName,EcoregionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_Leaf,C_FRoot,C_Wood,C_CRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco14, 10, 1, 0, 13690.7, 16061, 600.7, 173.2, 229.7, 339.5, 4.47, 501.8, 22.2, 210.9, 73.8, 7347.2, 1836.8, 974.2, 370.5, 27.9, 13.1, 16.6, 1.9, 264.7, 442, 7961.8, 5022.2, 6, 1.2, 21.9, 20.7, 2.9, 4.1, 0.1, 0.4, 0.1, 0.1, 7.2, 42.4, 114.2, 275.9, 0.2, -1.2, 0.1, 0.1, 5.3, 10.7, -9.1, 0, 527.06, 4.94, 0.58, 0, 0, 8.3, 3.7, 445, 0, 0, 
0, eco16, 11, 3333, 0, 8660.6, 21243.4, 6.5, 1.9, 2.3, 3.8, 8.97, 468.4, 0.3, 144.5, 50.6, 9847.1, 2461.8, 1223.5, 482.4, 40, 11.3, 21.1, 2.5, 187.5, 229.6, 5030.4, 3213, 4.4, 0.9, 29.2, 29.2, 3.7, 5.8, 0.2, 0.5, 0.1, 0.1, 4.8, 24.1, 114.1, 242.3, 0.2, -1.1, 0.1, 0.1, 6.4, 14.6, -12.2, 0, 3.63, 0.02, 0, 0, 0, 0.1, 0, 395.3, 0, 0, 
0, eco17, 12, 7434, 0, 9945.1, 34528.8, 9, 2.6, 3.2, 5.7, 12.11, 791.8, 0.4, 107.6, 37.7, 16127.7, 4031.9, 1938.9, 778.4, 61.7, 12.8, 32, 3.3, 135.4, 461.1, 5062.1, 4286.5, 3.8, 0.7, 47.5, 47.7, 5.8, 9.3, 0.3, 0.6, 0.2, 0.2, 3.1, 50.6, 172.6, 437.4, 0.3, -1.2, 0.2, 0.2, 9.5, 21.8, -18.7, 0, 3.36, 0, 0, 0, 0, 0.1, 0.1, 677, 0, 0, 
0, eco18, 13, 2972, 0, 5210.5, 21175.7, 10.7, 3.1, 4, 6.3, 6.28, 352.2, 0.5, 212.3, 74.3, 9747, 2436.7, 1271.8, 500.5, 39.3, 14, 22.8, 2.9, 92.6, 166.3, 3112.4, 1839.2, 6, 1.2, 29.2, 28.7, 3.8, 5.9, 0.2, 0.5, 0.1, 0.2, 2.3, 18.2, 84.4, 165.1, 0.2, -1.3, 0.1, 0, 6.7, 15, -12.3, 0, 6.08, 0.03, 0, 0, 0, 0.2, 0.1, 277.3, 0, 0, 
0, eco19, 14, 2108, 0, 9348.9, 26246.1, 8.4, 2.4, 3.1, 5.1, 6.74, 641.9, 0.4, 288.9, 101.1, 12054.3, 3013.6, 1595.6, 633.5, 47.4, 17.7, 27.8, 3.4, 158.5, 301.3, 5181.2, 3707.8, 8, 1.7, 36.2, 34.8, 4.8, 7.3, 0.3, 0.6, 0.1, 0.2, 4, 32.4, 143.6, 361.2, 0.3, -1.5, 0.1, 0.1, 8.1, 18.4, -15.4, 0, 3.57, 0.02, 0, 0, 0, 0.1, 0.1, 549.1, 0, 0, 
0, eco20, 15, 39, 0, 7010.9, 17966, 18.5, 5.3, 6.6, 10.2, 5.18, 357.7, 0.7, 175.2, 61.3, 8278.1, 2069.5, 1046.5, 407.7, 33.3, 11.5, 19, 2.5, 170.7, 194.7, 3909.4, 2736.1, 5.3, 1, 25.9, 25.5, 3.3, 5, 0.2, 0.4, 0.1, 0.1, 4.6, 19.8, 77.1, 184.1, 0.2, -1.2, 0.1, 0.1, 6.1, 12.2, -10.3, 0, 9.59, 0.08, 0.01, 0, 0, 0.2, 0.1, 291.6, 0, 0, 
0, eco21, 16, 98, 0, 5567.8, 25999.6, 30.2, 8.6, 11, 17.8, 7.97, 369.2, 1.3, 185.7, 65, 12041.8, 3010.5, 1526.7, 576.2, 50.9, 14.8, 22.8, 2.6, 106.9, 161.6, 3355.9, 1943.4, 5.4, 1, 34.9, 33.9, 4.5, 6.5, 0.3, 0.6, 0.1, 0.2, 2.8, 17.6, 78.3, 175.3, 0.2, -1.3, 0.2, 0.1, 8.1, 18.5, -15.5, 0, 12.84, 0.13, 0.02, 0, 0, 0.4, 0.2, 283, 0, 0, 
0, eco22, 17, 695, 0, 14307.6, 32261.1, 10.4, 3, 3.8, 6.3, 9.58, 932.7, 0.5, 104.6, 36.6, 15063.2, 3765.8, 1845.6, 701.6, 60.5, 12.9, 25.6, 2.7, 268.8, 434.3, 8129.2, 5475.3, 3.4, 0.6, 44.6, 43.2, 5.5, 8.1, 0.3, 0.6, 0.1, 0.2, 6.6, 46, 217.4, 546.4, 0.3, -1.2, 0.2, 0.1, 9, 21.2, -18.1, 0, 4.26, 0.03, 0, 0, 0, 0.1, 0.1, 827.2, 0, 0, 
0, eco23, 18, 688, 0, 6456.4, 21941.4, 9.4, 2.7, 3.5, 5.5, 6.34, 426.1, 0.4, 250.5, 87.7, 10069.3, 2517.3, 1359.8, 508.5, 41, 15.5, 21.3, 2.7, 133.3, 190.1, 3903.1, 2229.9, 6.7, 1.4, 30.3, 28.6, 4.2, 5.8, 0.2, 0.6, 0.1, 0.2, 3.4, 20.4, 97.6, 220.3, 0.2, -1.3, 0.1, 0, 7, 15.8, -13.1, 0, 5.12, 0.03, 0, 0, 0, 0.1, 0.1, 349.2, 0, 0, 
0, eco24, 19, 567, 0, 7503.8, 28378.8, 12.5, 3.6, 4.6, 7.6, 8.02, 512.4, 0.6, 233, 81.6, 13111.8, 3277.9, 1721.1, 644, 52.5, 16.2, 24.5, 3, 164.4, 239.5, 4163.8, 2936, 6.5, 1.3, 38.7, 37.2, 5.2, 7.3, 0.3, 0.6, 0.1, 0.2, 4.1, 26.1, 118.7, 258.1, 0.3, -1.4, 0.2, 0.1, 8.4, 19.5, -16.3, 0, 5.67, 0.03, 0, 0, 0, 0.2, 0.1, 416.2, 0, 0, 
