Time,EcoregionName,EcoregionIndex,NumSites,AGB,
7, eco7,5,44,13619.5, 
7, eco8,6,6,11752, 
7, eco10,7,1861,13390.3, 
7, eco11,8,554,12300.7, 
7, eco12,9,71,18815.7, 
7, eco14,10,1,12365, 
7, eco16,11,3333,15926.5, 
7, eco17,12,7434,25697.5, 
7, eco18,13,2972,17190.3, 
7, eco19,14,2108,21480.2, 
7, eco20,15,39,17887.8, 
7, eco21,16,98,12883.7, 
7, eco22,17,695,15639.4, 
7, eco23,18,688,14014.6, 
7, eco24,19,567,15504.5, 
7, eco25,20,12,6878.2, 
7, eco26,21,860,15122.8, 
7, eco27,22,878,12470.6, 
7, eco28,23,746,12733.6, 
7, eco29,24,2644,17691.8, 
7, eco30,25,39,15463.5, 
8, eco1,0,32,14904.2, 
8, eco2,1,1239,8883.6, 
8, eco3,2,689,21437.9, 
8, eco4,3,23,14117.1, 
8, eco6,4,3,18987.3, 
8, eco7,5,44,13883.6, 
8, eco8,6,6,11961.7, 
8, eco10,7,1861,13649.7, 
8, eco11,8,554,12554.7, 
8, eco12,9,71,19148.8, 
8, eco14,10,1,12650, 
8, eco16,11,3333,16259.1, 
8, eco17,12,7434,26161.4, 
8, eco18,13,2972,17559.4, 
8, eco19,14,2108,21809, 
8, eco20,15,39,18230, 
8, eco21,16,98,13228.3, 
8, eco22,17,695,16163.1, 
8, eco23,18,688,14343.8, 
8, eco24,19,567,15939.6, 
8, eco25,20,12,7123.5, 
8, eco26,21,860,15379.2, 
8, eco27,22,878,12704.6, 
8, eco28,23,746,12981.6, 
8, eco29,24,2644,17938.8, 
8, eco30,25,39,15802.8, 
9, eco1,0,32,15216.1, 
9, eco2,1,1239,9054.4, 
9, eco3,2,689,21839.2, 
9, eco4,3,23,14362.1, 
9, eco6,4,3,19484.7, 
9, eco7,5,44,14145.8, 
9, eco8,6,6,12179.5, 
9, eco10,7,1861,13911.9, 
9, eco11,8,554,12811.8, 
9, eco12,9,71,19484.2, 
9, eco14,10,1,12893, 
9, eco16,11,3333,16591.9, 
9, eco17,12,7434,26634.4, 
9, eco18,13,2972,17931, 
9, eco19,14,2108,22133.8, 
9, eco20,15,39,18572.6, 
9, eco21,16,98,13572.8, 
9, eco22,17,695,16690.1, 
9, eco23,18,688,14673.4, 
9, eco24,19,567,16373.2, 
9, eco25,20,12,7365.1, 
9, eco26,21,860,15634.3, 
9, eco27,22,878,12941.2, 
9, eco28,23,746,13233.1, 
9, eco29,24,2644,18183.1, 
9, eco30,25,39,16142.6, 
10, eco1,0,32,15538.4, 
10, eco2,1,1239,9228.8, 
10, eco3,2,689,22244.5, 
10, eco4,3,23,14620.5, 
10, eco6,4,3,19973.7, 
10, eco7,5,44,14406.9, 
10, eco8,6,6,12421.7, 
10, eco10,7,1861,14176, 
10, eco11,8,554,13071.7, 
10, eco12,9,71,19838, 
10, eco14,10,1,13181, 
10, eco16,11,3333,16926.5, 
10, eco17,12,7434,27112.1, 
10, eco18,13,2972,18303.6, 
10, eco19,14,2108,22455.2, 
10, eco20,15,39,18910.1, 
10, eco21,16,98,13913.9, 
10, eco22,17,695,17220.8, 
10, eco23,18,688,15002.5, 
10, eco24,19,567,16802.1, 
10, eco25,20,12,7629.8, 
10, eco26,21,860,15887.6, 
10, eco27,22,878,13178.1, 
10, eco28,23,746,13488.6, 
10, eco29,24,2644,18426.3, 
10, eco30,25,39,16484.9, 
11, eco1,0,32,15864.5, 
11, eco2,1,1239,9407, 
11, eco3,2,689,22655.6, 
11, eco4,3,23,14885, 
11, eco6,4,3,20444.7, 
11, eco7,5,44,14668.4, 
11, eco8,6,6,12648, 
11, eco10,7,1861,14442.7, 
11, eco11,8,554,13337.6, 
11, eco12,9,71,20197.3, 
11, eco14,10,1,13434, 
11, eco16,11,3333,17262.5, 
11, eco17,12,7434,27589.4, 
11, eco18,13,2972,18679.1, 
11, eco19,14,2108,22771.7, 
11, eco20,15,39,19239.7, 
11, eco21,16,98,14253.6, 
11, eco22,17,695,17753.6, 
11, eco23,18,688,15335.4, 
11, eco24,19,567,17231.3, 
11, eco25,20,12,7909.9, 
11, eco26,21,860,16140.2, 
11, eco27,22,878,13420.1, 
11, eco28,23,746,13745.3, 
11, eco29,24,2644,18669.4, 
11, eco30,25,39,16828.3, 
12, eco1,0,32,16195.7, 
12, eco2,1,1239,9588.6, 
12, eco3,2,689,23065.7, 
12, eco4,3,23,15146.6, 
12, eco6,4,3,20910, 
12, eco7,5,44,14928.3, 
12, eco8,6,6,12873.8, 
12, eco10,7,1861,14712.2, 
12, eco11,8,554,13605.4, 
12, eco12,9,71,20568, 
12, eco14,10,1,13741, 
12, eco16,11,3333,17600.6, 
12, eco17,12,7434,28062.3, 
12, eco18,13,2972,19055, 
