"Scenario","Year","mean_AGB","SRR","Min_rate","Fungi","GF","Lichen"
"1",0,239.29299536836,5.44588129606131,18.7487629436419,9.77094359618265,11.4218992311307,33.2717079016534
"1",10,266.564779997105,5.54077184973686,17.5793941857409,10.376284875327,10.5139456045876,33.9351081681174
"1",20,294.595343392676,5.64465169845447,16.3215460308252,10.9542133914165,9.6415710143245,34.4673926721657
"1",30,317.987303517152,5.73400218890137,15.2484039261426,11.4247109454269,8.96365082497057,34.8488476145651
"1",40,336.383455275727,5.80533771637883,14.3950455314015,11.7938340124627,8.46205642953781,35.1238623719566
"1",50,351.376163699522,5.86435520219493,13.6918149609887,12.0907637512299,8.07243388099312,35.3264521313713
"1",60,363.978855478362,5.91466091448168,13.0945522919534,12.3358742747597,7.75757148036227,35.4792473003394
"1",70,374.222836879433,5.95621170649642,12.6032551373759,12.5288853563519,7.50955024449022,35.5864297082845
"1",80,382.002971486467,5.9884297614571,12.2242995681221,12.6674888954874,7.32536246498582,35.650497822993
"1",90,387.582456940223,6.0120154936572,11.9482977567129,12.7605045115004,7.19525271784287,35.6837380030995
"1",100,391.596776668114,6.02924119335507,11.7474623034959,12.8239247861812,7.10264797799483,35.7008585246994
"2",0,239.29299536836,5.44588129606131,18.7487629436419,9.77094359618265,11.4218992311307,33.2717079016534
"2",10,253.113603632943,5.49542941884967,18.1432925884743,10.0556199243735,10.94863979999,33.5697408905963
"2",20,281.987724345057,5.59935044513247,16.8747732882429,10.6722576584339,10.0212824762856,34.1907301680087
"2",30,306.822395788102,5.6918588117554,15.7561762789736,11.1909474960872,9.27996695029482,34.6532648142139
"2",40,326.837283253727,5.76784738350867,14.8420376264833,11.6073731720814,8.71970183913705,34.9931988840971
"2",50,343.400019539731,5.83194127658674,14.0748916467553,11.9463690023158,8.27939314662284,35.2452007608441
"2",60,357.363276885222,5.88695674415926,13.4195038780583,12.225512524717,7.92369253294043,35.4331663825437
"2",70,368.68483716891,5.93238576985536,12.8808664960384,12.4444081008777,7.64506717751281,35.5645316143173
"2",80,377.272873425966,5.96764163548518,12.465271361981,12.6010896009617,7.43888465324421,35.6433842345643
"2",90,383.416161890288,5.99344587013069,12.1628320284961,12.7055054191598,7.29381954652014,35.6843575192257
"2",100,387.851809958026,6.01241079814639,11.9415231140615,12.7763464546331,7.19027943451368,35.7051029520776
"3",0,239.29299536836,5.44588129606131,18.7487629436419,9.77094359618265,11.4218992311307,33.2717079016534
"3",10,242.435337241279,5.46328208522924,18.5570403498031,9.76316999463965,11.2963204550473,33.1872567164349
"3",20,271.336469098278,5.56490696797057,17.3084229051851,10.3921061089316,10.3444431525952,33.8620518318643
"3",30,296.696740845274,5.65718115554286,16.185466444142,10.936718041722,9.56855491180526,34.3859893657974
"3",40,317.637607468519,5.73493725384289,15.2444381252443,11.3866152887572,8.96866448482808,34.7842400704723
"3",50,335.056232450427,5.80076232892019,14.4515792300771,11.7587852757913,8.49615161124675,35.0890179167863
"3",60,350.080172600955,5.85858694056397,13.7584777387621,12.0744123203952,8.10665607174184,35.3264295600226
"3",70,362.728188594587,5.9083939883962,13.165055070774,12.3300815757301,7.79058152836782,35.4977362453309
"3",80,372.586507815892,5.94824422788975,12.6934547521288,12.5177210774126,7.55097666284948,35.6045442329105
"3",90,379.747683094514,5.97791340553302,12.3445217394601,12.6449127499219,7.3803145320546,35.6631619965351
"3",100,384.879679403676,5.99960029118396,12.0907195146256,12.7304003063133,7.25966796949435,35.6939376000231
"4",0,239.29299536836,5.44588129606131,18.7487629436419,9.77094359618265,11.4218992311307,33.2717079016534
"4",10,225.863112244898,5.40234810507184,19.2964594463097,9.44983183326295,11.8885408966732,32.871486346689
"4",20,258.77151505283,5.51537388894961,17.8984165391104,10.1786676317393,10.7614539921641,33.7010425673511
"4",30,287.148878636561,5.61727238839467,16.6537886630627,10.7948192860908,9.86550187221344,34.319635089228
"4",40,310.243899623679,5.702508943428,15.6205241541979,11.2925676877236,9.18672447618383,34.7716820445752
"4",50,329.297518092343,5.77448555335581,14.7534827300307,11.6973008205483,8.65867784416425,35.105792952166
"4",60,345.408335866261,5.83677567458784,14.0077527354273,12.0302600076837,8.23318802593466,35.3531303115397
"4",70,358.778262411348,5.88981062231849,13.3770663918783,12.2940417030433,7.89352976033815,35.5241879823886
"4",80,369.163704226371,5.93201158163845,12.8783117853363,12.4879364457659,7.6375974775063,35.6309633842598
"4",90,376.875530467506,5.96415453253666,12.5008527101649,12.6217358791966,7.45153177220817,35.6890254529333
"4",100,382.620390432769,5.9886802426873,12.2145476162299,12.713515425921,7.31488243263649,35.7168799281913
"5",0,239.29299536836,5.44588129606131,18.7487629436419,9.77094359618265,11.4218992311307,33.2717079016534
"5",10,203.603893472283,5.32657975380174,20.2360835346956,8.97935298746724,12.7150689595105,32.305566116065
"5",20,237.925795701259,5.4401059576969,18.8163582491946,9.75339469677221,11.4721567484552,33.264008543343
"5",30,268.535040888696,5.5469777033526,17.5006360526871,10.4295293074063,10.4528039015991,33.9999880392692
"5",40,294.047578158923,5.63911340127843,16.3770391674386,10.9885515500729,9.66582723378972,34.5470552304082
"5",50,315.18351968447,5.71757490920907,15.4274114695853,11.4451368459963,9.05441580386329,34.9514130352764
"5",60,333.042932045159,5.7856577412322,14.609272428544,11.82048428666,8.56446027462455,35.2498952199101
"5",70,347.970566290346,5.84416243205003,13.9113554418701,12.1204907246756,8.17228459106347,35.4591033159707
"5",80,359.762704805326,5.89154256665818,13.3497758256884,12.345683056791,7.87307907339853,35.5943730486507
