"","EcoregionName","Scenario","Time","EcoregionIndex","NumSites","AGB","SRR","Min_rate","Fungi","GF","Lichen","Aesthetic","Recreation","Fungi_val","Replicate","Carbon_flux","Nitrogen_flux","Timber"
"1"," eco1","Scenario 1",0,0,32,148.948,4.18399439146355,21.8105655675036,2.06661756450846,14.9945060435146,30.8974455004202,0.533702392399007,3.92400752264782,3.72795110535492,1,NA,NA,139.990486696479
"2"," eco1","Scenario 1",1,0,32,151.992,4.19112098592573,21.7028263654906,2.07608651363229,14.8632412979717,31.0196312625557,0.540127654569096,3.93108523667881,3.74606281335339,1,1.54899999999998,1.80000000000001,142.232927718101
"3"," eco1","Scenario 1",10,0,32,180.262,4.25757684673682,20.6832430999412,2.16053972564482,13.6949378587896,32.1040083135731,0.603051670793931,3.99538820681847,3.9072566796493,1,2.703,2.60000000000002,167.854783250759
"4"," eco1","Scenario 1",100,0,32,366.054,4.70647237396196,13.1290566801774,2.55895384376801,7.92295923637,36.2981034854547,1.1925663843454,4.35168298593816,4.62124891321383,1,0.355000000000018,1.5,428.464319164451
"5"," eco1","Scenario 1",11,0,32,183.628,4.26552200546398,20.5595601941641,2.17017590249422,13.5617616237894,32.2267290193494,0.610947011982301,4.00287079967392,3.92556560921614,1,2.73799999999997,2.69999999999999,171.263604678349
"6"," eco1","Scenario 1",12,0,32,187.11,4.27374825330412,20.4311032207897,2.1800502640034,13.4252840844516,32.3521740076723,0.619207506588206,4.01057198765586,3.94429996722658,1,2.84300000000005,2.80000000000001,174.704370191074
"7"," eco1","Scenario 1",13,0,32,190.495,4.28175243572769,20.3057259443179,2.18955801264591,13.2938533691141,32.4726368969113,0.627329402665901,4.01802026321697,3.96231032340548,1,2.80699999999999,2.80000000000001,178.183636159131
"8"," eco1","Scenario 1",14,0,32,194.006,4.290061951185,20.175162192309,2.19932432304947,13.1588156201583,32.5960130188618,0.63584979354613,4.02570572120325,3.98077888171453,1,2.92199999999997,3,181.672512132162
"9"," eco1","Scenario 1",15,0,32,197.443,4.29820362193466,20.0468378458385,2.20879075285381,13.0278804563679,32.7152187619194,0.644286295086013,4.03318959376456,3.99864739616036,1,2.89500000000001,2.89999999999998,185.178078240195
"10"," eco1","Scenario 1",16,0,32,201.015,4.30667272951772,19.9129358792287,2.21853041764647,12.8931078002467,32.8374387525495,0.653155388715847,4.04092581634807,4.0169953313882,1,3.01500000000001,3.19999999999999,188.698747372163
"11"," eco1","Scenario 1",17,0,32,204.559,4.31508315048758,19.7795423701915,2.22809442359581,12.7606947193061,32.9569985996251,0.662057828517622,4.04855940634872,4.03497410449329,1,3.01800000000003,3.19999999999999,192.263835530002
"12"," eco1","Scenario 1",18,0,32,208.019,4.32330162711508,19.6487905347715,2.23733631102759,12.6326609959056,33.0720681547487,0.670848992183956,4.05597164169931,4.05230912775036,1,2.97499999999994,3.20000000000005,195.86105418929
"13"," eco1","Scenario 1",19,0,32,211.622,4.33186753956364,19.5120887165643,2.24685994742981,12.500626955224,33.1901322652612,0.680109147339245,4.06364770092159,4.07013110152343,1,3.10500000000002,3.39999999999998,199.512492582163
"14"," eco1","Scenario 1",2,0,32,154.743,4.19756647840266,21.6051154990939,2.08458125044012,14.7455456159333,31.1291859535666,0.545991700097899,3.93745618192984,3.76230991346248,1,1.68900000000002,2,144.095282927814
"15"," eco1","Scenario 1",20,0,32,215.277,4.34056517906854,19.3728447079256,2.25641656648679,12.3680210491737,33.3080417580831,0.68961407516704,4.07139015004028,4.08797019172708,1,3.14699999999999,3.5,203.169528102294
"16"," eco1","Scenario 1",21,0,32,218.908,4.34921378493755,19.2339473273643,2.26580625261853,12.2376035370031,33.4233009124451,0.699168415105652,4.07903742191865,4.10545199913699,1,3.16000000000003,3.60000000000002,206.872044811698
"17"," eco1","Scenario 1",22,0,32,222.402,4.35754367478996,19.0997564298989,2.2747436249734,12.1133352315184,33.532425051828,0.708468429160405,4.08635438028582,4.12204772687553,1,3.07499999999999,3.39999999999998,210.538369400587
"18"," eco1","Scenario 1",23,0,32,225.887,4.36585953472716,18.9653892759252,2.28356219745935,11.9905762969491,33.6395032878665,0.71784911573617,4.09361162804559,4.13837910021318,1,3.09,3.60000000000002,214.173400111516
"19"," eco1","Scenario 1",24,0,32,229.329,4.37408006894341,18.8321683927338,2.29217806917755,11.8704874564088,33.7435115614743,0.727217500403589,4.10073923199858,4.15429153239445,1,3.06200000000001,3.5,217.890375129395
"20"," eco1","Scenario 1",25,0,32,232.819,4.38242262879118,18.6965705533087,2.30081882244656,11.7498858215637,33.8471771280713,0.736822383250255,4.10792550792417,4.17020517656769,1,3.12099999999998,3.69999999999993,221.592334491324
"21"," eco1","Scenario 1",26,0,32,236.366,4.39090906400647,18.5582224676506,2.309502407082,11.6285024322779,33.950666642333,0.746694276635648,4.11518710201546,4.18615109609831,1,3.17400000000001,3.90000000000009,225.33786300173
"22"," eco1","Scenario 1",27,0,32,240.058,4.39975058225185,18.4136452552317,2.31843572560114,11.5034172153196,34.0563647155082,0.757088685136886,4.12270048964765,4.20250535038856,1,3.28900000000002,3.89999999999998,229.070788659987
"23"," eco1","Scenario 1",28,0,32,243.631,4.40831504812426,18.2731710159893,2.32697888548698,11.3835763755498,34.1566721716997,0.767264602606937,4.12992791947931,4.21809629417045,1,3.22699999999998,4,232.956571110928
"24"," eco1","Scenario 1",29,0,32,247.27,4.41704572937697,18.1295387857766,2.33557650359194,11.2627363768048,34.2568069107552,0.777747343684107,4.1372445620292,4.23373692705885,1,3.28100000000001,4.10000000000002,236.87661153589
