"","Scenario","variable","Time","Mean","SD"
"1","1","m_betu_pend",0,10.7407202464987,5.92101895168877
"2","1","m_betu_pend",10,12.6335349813321,7.21923220911324
"3","1","m_betu_pend",20,14.4089827385457,8.68107445019843
"4","1","m_betu_pend",30,15.7280088020208,10.1112190654177
"5","1","m_betu_pend",40,16.6927851890979,11.3773437414008
"6","1","m_betu_pend",50,17.3205409305708,12.335094172045
"7","1","m_betu_pend",60,17.5768240892945,12.986665778536
"8","1","m_betu_pend",70,17.5181418238246,13.5306915061108
"9","1","m_betu_pend",80,17.1892697305703,13.9719598426965
"10","1","m_betu_pend",90,16.7015666098411,14.1807224951622
"11","1","m_betu_pend",100,16.1126806375708,14.1796346791824
"12","1","m_betu_pend",110,15.4760718177458,14.0604969582761
"13","1","m_betu_pend",120,14.7793684257238,13.8231495668963
"14","1","m_betu_pend",130,13.9284393815215,13.3904339538235
"15","1","m_betu_pend",140,12.8245345535059,12.6507167961606
"16","1","m_betu_pend",150,11.4667794361697,11.5521476489951
"17","1","m_betu_pend",160,9.95925898510883,10.170525969307
"18","1","m_betu_pend",170,8.42464926132418,8.70018348902932
"19","1","m_betu_pend",180,6.98347459658945,7.36201360510075
"20","1","m_betu_pend",190,5.72789198395241,6.29225668769897
"21","1","m_betu_pend",200,4.72205857768061,5.5084769803189
"22","1","m_betu_pend",210,3.97836211187648,4.96464615683754
"23","1","m_betu_pend",220,3.45196832343464,4.60631908803766
"24","1","m_betu_pend",230,3.07410805718427,4.38032458158262
"25","1","m_betu_pend",240,2.79109786242649,4.23369918762688
"26","1","m_betu_pend",250,2.56791041639117,4.12974252927502
"27","1","m_quercus",0,112.62815261581,58.2040997699516
"28","1","m_quercus",10,123.380471166741,57.8910129859828
"29","1","m_quercus",20,137.490470834157,58.3190852226406
"30","1","m_quercus",30,150.140443869452,57.3244817385002
"31","1","m_quercus",40,160.821784405384,55.1609405273161
"32","1","m_quercus",50,169.820576786415,52.6495933603305
"33","1","m_quercus",60,177.208616834363,50.0015864628362
"34","1","m_quercus",70,183.075814034733,47.2901930562772
"35","1","m_quercus",80,187.491768237067,44.7062572012262
"36","1","m_quercus",90,190.549559730212,42.2207663885262
"37","1","m_quercus",100,192.5258456348,39.6770360452996
"38","1","m_quercus",110,193.716562333357,36.8996499666876
"39","1","m_quercus",120,194.34049397255,33.8992819031612
"40","1","m_quercus",130,194.538180865415,30.7672939674478
"41","1","m_quercus",140,194.420116593192,27.6641674202562
"42","1","m_quercus",150,194.046154532637,25.0176030027261
"43","1","m_quercus",160,193.445640361764,23.5394378195261
"44","1","m_quercus",170,192.510866221002,23.7034248259774
"45","1","m_quercus",180,191.058290507814,25.0823493652716
"46","1","m_quercus",190,188.917753204502,26.7769449511828
"47","1","m_quercus",200,186.000693533138,28.1347231569333
"48","1","m_quercus",210,182.334787512075,28.9347312703953
"49","1","m_quercus",220,178.043236226475,29.2545817532492
"50","1","m_quercus",230,173.279350127537,29.2934130578623
"51","1","m_quercus",240,168.23345756896,29.2080926320779
"52","1","m_quercus",250,163.027565305571,29.1156516043194
"53","1","m_pinus_sylv",0,1.38998336636452,1.22894115421857
"54","1","m_pinus_sylv",10,1.62479264055785,1.5022222837421
"55","1","m_pinus_sylv",20,1.83550055496933,1.78276200534918
"56","1","m_pinus_sylv",30,2.05840778455889,1.97138334126369
"57","1","m_pinus_sylv",40,2.26505648127048,2.07128676317592
"58","1","m_pinus_sylv",50,2.45675858150861,2.12683817464471
"59","1","m_pinus_sylv",60,2.63897547987762,2.23438267538045
"60","1","m_pinus_sylv",70,2.80715251483037,2.42067118230823
"61","1","m_pinus_sylv",80,2.90783363480717,2.61006156213243
"62","1","m_pinus_sylv",90,2.90820999888681,2.74013146991062
"63","1","m_pinus_sylv",100,2.82274336682549,2.80624515001679
"64","1","m_pinus_sylv",110,2.68235575024731,2.8146607348517
"65","1","m_pinus_sylv",120,2.51703394835977,2.77876512455009
"66","1","m_pinus_sylv",130,2.34138422462991,2.7100252438418
"67","1","m_pinus_sylv",140,2.15530945733601,2.61318866385966
"68","1","m_pinus_sylv",150,1.96842656792881,2.50832110272186
"69","1","m_pinus_sylv",160,1.7886153518572,2.40543104833368
"70","1","m_pinus_sylv",170,1.61507439313542,2.29939144297497
"71","1","m_pinus_sylv",180,1.44840349419156,2.1827368280398
"72","1","m_pinus_sylv",190,1.29090744284493,2.05272785910317
"73","1","m_pinus_sylv",200,1.14420191829898,1.90806067352357
"74","1","m_pinus_sylv",210,1.00654621865086,1.74452857780653
"75","1","m_pinus_sylv",220,0.87601793449674,1.56384565063384
"76","1","m_pinus_sylv",230,0.75538667233175,1.37904891255576
"77","1","m_pinus_sylv",240,0.645442624397083,1.19739938807631
"78","1","m_pinus_sylv",250,0.547669500141947,1.03002403876645
"79","1","m_fagus_sylv",0,79.1282831827026,44.7284836479118
"80","1","m_fagus_sylv",10,87.1275955737381,47.7335843507737
"81","1","m_fagus_sylv",20,95.4055982232048,51.0723429677091
"82","1","m_fagus_sylv",30,102.518990560911,53.5267285265564
"83","1","m_fagus_sylv",40,108.455828723884,55.5324934641081
"84","1","m_fagus_sylv",50,113.660649234671,57.0965622179754
"85","1","m_fagus_sylv",60,118.406046747029,58.2354460762135
"86","1","m_fagus_sylv",70,122.926823755958,59.0867164498585
"87","1","m_fagus_sylv",80,127.359363775126,59.7194594528815
"88","1","m_fagus_sylv",90,131.77760110244,60.1174952564182
"89","1","m_fagus_sylv",100,136.206255309439,60.2775106753807
"90","1","m_fagus_sylv",110,140.65998689867,60.2233544703413
"91","1","m_fagus_sylv",120,145.176321545151,60.0056099298609
"92","1","m_fagus_sylv",130,149.782012481214,59.6848171832068
"93","1","m_fagus_sylv",140,154.51913626704,59.2588218083462
"94","1","m_fagus_sylv",150,159.405983283393,58.7643506575761
"95","1","m_fagus_sylv",160,164.434048812277,58.2734080295074
"96","1","m_fagus_sylv",170,169.622769695287,57.8657184402904
"97","1","m_fagus_sylv",180,174.958950629182,57.6250279810094
"98","1","m_fagus_sylv",190,180.423442238552,57.5848826448481
"99","1","m_fagus_sylv",200,185.981678559701,57.7893583100979
"100","1","m_fagus_sylv",210,191.642793178424,58.1940290518451
"101","1","m_fagus_sylv",220,197.438765461111,58.7463095767225
"102","1","m_fagus_sylv",230,203.352946600675,59.4106763511105
"103","1","m_fagus_sylv",240,209.303278668139,60.131460558135
"104","1","m_fagus_sylv",250,215.231274523754,60.9067071702216
"105","1","m_ilex_aqui",0,21.5877819771685,17.5180198777401
"106","1","m_ilex_aqui",10,25.1711899021957,20.3169485511164
"107","1","m_ilex_aqui",20,26.6779010536529,21.6217457111365
"108","1","m_ilex_aqui",30,27.0566134017334,22.2526619481642
"109","1","m_ilex_aqui",40,26.340800275732,22.4664284355995
"110","1","m_ilex_aqui",50,25.0102042992822,22.2993777370424
"111","1","m_ilex_aqui",60,23.3473075797143,21.514472686715
"112","1","m_ilex_aqui",70,21.4553323259935,20.0905933177715
"113","1","m_ilex_aqui",80,19.4597609334927,18.2872737417337
"114","1","m_ilex_aqui",90,17.5315791616433,16.4309126620693
"115","1","m_ilex_aqui",100,15.771143292793,14.7120044399229
"116","1","m_ilex_aqui",110,14.2080384087203,13.189721221914
"117","1","m_ilex_aqui",120,12.8486438316665,11.8697374018453
"118","1","m_ilex_aqui",130,11.6443248543815,10.6937907962223
"119","1","m_ilex_aqui",140,10.4960761627017,9.55926888111559
"120","1","m_ilex_aqui",150,9.40425796390841,8.58982027409901
"121","1","m_ilex_aqui",160,8.39132985435456,7.91633771138719
"122","1","m_ilex_aqui",170,7.45249683476965,7.48331871866585
"123","1","m_ilex_aqui",180,6.60076943532302,7.17402214353464
"124","1","m_ilex_aqui",190,5.8493908558906,6.90539290834623
"125","1","m_ilex_aqui",200,5.20040089593469,6.63686510285562
"126","1","m_ilex_aqui",210,4.63397315909495,6.34061529782008
"127","1","m_ilex_aqui",220,4.13431495293228,6.01856301195149
"128","1","m_ilex_aqui",230,3.69571143296628,5.68900071588182
"129","1","m_ilex_aqui",240,3.31127821489627,5.36771171648942
"130","1","m_ilex_aqui",250,2.9769543259953,5.07662128282739
"131","2","m_betu_pend",0,10.7407202464987,5.92101895168876
"132","2","m_betu_pend",10,13.0975018736758,7.08920606694884
"133","2","m_betu_pend",20,15.683509757484,8.2294413378788
"134","2","m_betu_pend",30,17.9040648115279,9.24246686060404
"135","2","m_betu_pend",40,19.8344833851011,10.0106987271711
"136","2","m_betu_pend",50,21.4233373301454,10.494642958838
"137","2","m_betu_pend",60,22.5625759122106,10.8021735462672
"138","2","m_betu_pend",70,23.2358087781427,11.2168489758137
"139","2","m_betu_pend",80,23.4326412409205,11.7581198089249
"140","2","m_betu_pend",90,23.2655407610833,12.2167075758107
"141","2","m_betu_pend",100,22.8246903893474,12.5466678262908
"142","2","m_quercus",0,112.62815261581,58.2040997699516
"143","2","m_quercus",10,99.4773398601508,44.1825294800077
"144","2","m_quercus",20,111.453708787784,44.5158351769624
"145","2","m_quercus",30,122.521184498131,43.9427267414097
"146","2","m_quercus",40,132.42005847029,42.8051889802128
"147","2","m_quercus",50,141.262723389925,41.4800299416177
"148","2","m_quercus",60,149.141786758467,40.0611441445678
"149","2","m_quercus",70,156.195075599497,38.5133375862208
"150","2","m_quercus",80,162.441330060799,36.9769859508502
"151","2","m_quercus",90,167.863686346325,35.4230997533675
"152","2","m_quercus",100,172.589314979933,33.7337036800198
"153","2","m_pinus_sylv",0,1.38998336636452,1.22894115421857
"154","2","m_pinus_sylv",10,1.73892737031746,1.46738575930952
"155","2","m_pinus_sylv",20,2.12195048335564,1.69037170672291
"156","2","m_pinus_sylv",30,2.55624991086475,1.86428011386166
"157","2","m_pinus_sylv",40,3.00361937865974,1.97393152367557
"158","2","m_pinus_sylv",50,3.41859996234986,2.02406933903515
"159","2","m_pinus_sylv",60,3.81294603681721,2.12763370532711
"160","2","m_pinus_sylv",70,4.18046626444031,2.36556887706014
