ID,Image1aes,Image1rec,Image2aes,Image2rec,Image3aes,Image3rec,Image4aes,Image4rec,Image5aes,Image5rec
1,4,2,5,5,3,5,2,5,1,5
2,4,3,4,4,2,3,3,3,3,4
3,5,4,5,4,4,4,5,5,3,4
4,5,4,4,4,3,3,2,2,2,2
5,4,3,2,2,3,3,4,3,4,4
6,5,5,4,4,4,4,4,4,5,5
7,3,3,3,3,3,3,3,3,2,2
8,3,3,4,3,3,3,3,2,2,2
9,3,3,4,3,3,3,3,3,3,4
10,3,4,4,4,2,4,2,3,3,5
11,4,5,3,2,2,2,2,1,1,1
12,4,5,4,4,2,2,1,1,1,1
13,5,4,4,3,2,2,2,1,1,1
14,4,3,2,3,2,1,1,2,1,2
15,4,4,3,3,2,2,2,2,3,3
16,4,2,3,3,1,2,1,2,1,2
17,4,2,4,3,4,4,5,5,3,5
18,4,2,2,4,2,3,2,3,2,3
19,4,2,4,3,2,3,2,4,2,4
20,3,3,2,4,1,5,1,5,1,5
21,5,4,5,4,5,5,5,5,5,5
22,5,3,4,4,3,4,2,5,1,5
23,4,5,3,5,3,5,5,5,3,4
24,5,5,4,5,3,3,3,3,3,3
25,2,3,4,4,4,4,5,4,3,4
26,5,5,5,5,5,5,5,5,3,3
27,5,4,5,4,5,4,5,5,5,5
28,4,4,5,5,4,4,3,4,4,3
29,5,5,5,5,4,4,4,4,3,3
30,5,4,5,4,5,4,5,3,5,4
31,4,4,4,4,3,3,3,3,3,4
32,4,3,4,4,3,3,3,3,2,2
33,5,5,4,4,4,4,3,3,1,1
34,5,5,4,4,3,3,2,2,1,1
35,4,3,3,3,2,4,2,4,1,4
36,4,4,2,3,2,3,1,3,1,3
37,5,5,5,5,5,5,5,5,5,5
38,5,5,5,5,5,5,5,5,5,5
39,4,4,4,4,4,4,4,4,4,4
40,4,4,4,4,4,4,5,5,5,5
41,5,2,5,2,5,4,4,3,5,5
42,3,2,4,3,4,3,3,3,3,2
43,4,4,4,4,3,3,3,3,3,3
44,5,2,5,4,4,3,2,3,1,2
45,3,4,4,4,3,3,3,4,2,4
46,5,4,4,5,3,4,3,3,2,3
47,4,4,4,4,3,3,3,2,2,2
48,5,5,4,5,3,5,3,5,2,5
49,5,3,5,4,4,4,4,3,4,3
50,5,4,2,3,2,2,4,4,5,4
51,4,4,3,3,2,2,2,2,1,1
52,4,4,3,3,3,3,2,2,2,2
53,5,5,4,4,4,4,4,4,2,2
54,5,3,3,3,1,1,1,1,1,1
55,4,3,3,3,3,3,2,2,1,3
56,4,4,3,4,3,4,3,4,4,4
57,3,3,4,4,2,2,2,2,1,1
58,2,4,4,4,4,4,4,4,4,4
59,4,3,3,3,2,4,2,4,2,4
60,5,3,5,4,4,4,3,4,3,5
61,4,2,3,4,4,4,4,5,3,5
62,4,5,3,3,2,2,3,4,4,4
63,5,5,4,4,3,3,2,2,1,1
64,5,5,5,5,4,4,5,5,5,5
65,4,4,4,4,4,4,4,4,4,4
66,4,2,3,3,2,2,1,1,1,1
67,3,3,3,3,4,4,2,3,4,4
68,4,2,4,3,2,4,2,5,2,5
69,4,4,4,4,3,3,3,3,2,2
70,4,3,4,4,4,4,3,3,2,3
71,3,3,4,4,4,5,2,5,1,5
72,5,5,5,5,5,5,4,4,3,3
73,5,3,4,4,3,3,1,1,1,1
74,4,4,3,3,4,4,4,4,2,2
75,4,4,3,4,3,4,3,4,3,3
76,2,2,4,4,3,3,3,3,2,2
77,5,3,5,4,4,4,3,3,2,2
78,5,5,5,5,5,5,5,5,5,5
79,3,2,4,4,4,5,5,5,5,5
80,2,1,4,3,3,2,2,1,4,3
81,5,5,5,5,5,5,5,5,5,5
82,4,2,4,4,3,4,2,4,2,2
83,5,5,4,5,3,4,1,3,1,1
84,4,4,3,3,2,2,3,3,3,3
85,5,5,3,3,2,2,2,2,4,4
86,5,5,5,5,5,5,5,5,5,5
87,4,3,4,4,5,4,4,4,5,4
88,5,5,5,5,4,4,4,4,4,4
89,4,2,4,3,3,3,4,4,2,4
90,5,3,5,4,4,4,2,3,1,2
91,5,4,4,4,4,3,3,5,3,3
92,2,2,5,5,5,5,5,5,5,3
93,5,5,5,5,2,3,3,4,2,4
94,5,2,3,3,2,4,1,4,1,4
95,5,5,5,5,3,3,4,4,5,5
96,5,5,5,5,5,5,5,5,5,5
97,5,5,5,5,5,5,5,5,4,4
98,4,4,4,4,3,3,2,3,2,3
99,4,5,3,3,2,3,3,3,2,2
100,3,3,4,4,5,5,5,5,3,3
101,5,1,5,1,5,1,5,3,5,4
102,5,5,5,5,5,5,5,5,5,5
103,5,5,5,5,5,5,5,5,5,5
104,4,4,4,4,4,4,3,3,3,3
105,4,4,4,4,4,4,3,3,2,2
106,5,4,3,4,2,3,1,2,1,2
107,3,3,4,4,1,2,1,2,1,1
108,4,4,3,4,4,4,5,5,5,5
109,3,3,4,4,5,5,4,4,5,5
110,5,3,5,4,5,4,3,3,5,5
111,4,3,4,4,4,4,3,4,3,4
112,5,5,5,5,3,3,4,4,3,3
113,3,3,4,4,4,4,4,4,3,3
114,4,1,4,4,4,4,4,3,3,3
115,5,3,4,4,3,5,2,4,2,4
116,4,3,4,4,2,3,2,3,3,3
117,4,4,2,4,2,2,2,4,2,5
118,4,5,4,5,4,5,2,4,4,4
119,5,3,5,5,5,5,4,5,4,5
120,5,4,5,5,4,5,3,3,4,4
121,4,4,4,4,3,3,3,3,2,3
122,5,5,4,4,3,3,2,2,1,1
123,4,4,4,4,3,3,4,4,5,5
124,5,5,4,4,3,3,2,2,1,1
125,4,4,4,4,3,4,3,4,5,5
126,5,5,4,4,3,3,3,4,3,3
127,5,3,4,4,3,4,2,4,1,4
128,4,5,2,4,3,3,3,1,2,2
129,4,4,3,3,2,2,2,2,1,1
130,5,5,5,5,5,5,5,5,5,5
131,3,4,4,4,3,3,4,4,3,5
132,5,3,5,4,5,4,5,5,5,5
133,4,5,3,5,2,5,1,5,1,5
134,4,3,4,4,3,4,3,4,3,3
135,5,5,5,5,5,5,5,5,4,5
136,3,4,4,4,4,4,3,3,3,3
137,4,4,4,4,4,4,4,4,3,3
138,5,3,5,3,5,3,4,3,3,1
139,3,3,4,3,3,3,4,3,2,4
140,5,4,4,4,3,4,2,3,1,3
141,5,5,4,5,1,1,3,3,1,1
142,4,4,4,4,4,4,3,4,3,4
143,4,4,4,4,4,4,4,4,3,3
144,3,2,2,2,2,2,2,2,1,1
145,5,5,5,5,4,3,2,1,1,1
146,4,2,5,4,5,4,4,4,3,3
147,2,2,3,3,3,3,3,3,2,2
148,5,5,5,5,5,5,5,5,3,3
149,5,5,5,5,4,4,4,4,4,4
150,4,3,4,3,3,2,2,2,2,2
151,3,4,4,5,4,4,4,4,3,3
152,5,5,4,3,3,2,3,2,4,3
153,5,5,5,5,5,5,5,5,5,5
154,4,4,4,4,4,4,3,3,2,2
155,5,5,3,3,2,2,2,2,1,1
156,5,5,4,4,2,2,2,2,2,2
157,5,5,4,4,4,4,4,4,4,4
158,5,5,5,5,5,5,4,4,4,4
159,5,5,4,4,3,3,2,2,1,1
160,5,3,4,4,3,3,2,2,1,1
161,4,3,4,4,3,3,3,3,3,3
162,3,3,3,3,4,4,4,4,4,4
163,5,5,5,5,5,5,3,2,3,3
164,4,3,3,4,3,4,3,3,3,2
165,5,5,5,5,4,4,3,4,3,3
166,3,2,4,4,4,4,2,2,2,2
167,4,3,4,4,2,3,3,3,2,3
168,3,5,4,5,2,4,1,4,1,4
169,4,4,4,4,3,3,2,1,1,1
170,4,3,4,3,4,3,2,2,2,2
171,4,4,4,4,3,3,2,2,1,1
172,5,5,5,5,5,5,4,4,3,3
173,4,4,5,5,5,5,5,5,5,5
174,4,3,2,2,1,1,1,1,2,2
175,3,3,2,2,1,2,1,1,1,1
176,5,5,5,5,4,4,4,4,4,4
177,4,2,4,3,3,3,2,3,2,3
178,5,2,5,5,5,5,5,5,4,4
179,5,5,4,4,4,4,4,3,3,3
180,5,4,5,5,5,5,4,3,2,3
181,2,2,2,2,4,2,4,4,4,4
182,5,5,5,5,4,4,3,2,3,2
183,4,3,4,4,4,4,4,5,4,5
184,3,3,4,4,5,5,5,5,5,5
185,4,4,5,5,5,5,5,5,5,5
